Product Name,GPU Chip,Release Date,Bus,Memory,GPU Clock,Memory Clock,Shaders/TMUs/ROPs
GeForce GTX 660,GK106,"Sep 6th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 192 bit",980 MHz,1502 MHz,960 / 80 / 24
GeForce GT 620M,GF108,"Aug 23rd, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",660 MHz,900 MHz,96 / 16 / 4
GeForce GTX 660 OEM,GK104,"Aug 22nd, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",823 MHz,1400 MHz,1152 / 96 / 32
GeForce GTX 660 OEM,GK104,"Aug 22nd, 2012",PCIe 3.0 x16,"1536 MB, GDDR5, 192 bit",823 MHz,1400 MHz,1152 / 96 / 24
GeForce GT 520 OEM,GF119,"Aug 20th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",589 MHz,500 MHz,48 / 8 / 4
Quadro K5000,GK104,"Aug 17th, 2012",PCIe 2.0 x16,"4 GB, GDDR5, 256 bit",706 MHz,1350 MHz,1536 / 128 / 32
GeForce GTX 660 Ti,GK104,"Aug 16th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 192 bit",915 MHz,1502 MHz,1344 / 112 / 24
NVS 1000,GK107,Never Released,PCIe 3.0 x16,"2 GB, DDR3, 128 bit",797 MHz,891 MHz,192 / 16 / 16
Quadro 410,GK107,"Aug 7th, 2012",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",706 MHz,891 MHz,192 / 16 / 8
Quadro K5000 Mac Edition,GK104,"Aug 7th, 2012",PCIe 2.0 x16,"4 GB, GDDR5, 256 bit",706 MHz,1350 MHz,1536 / 128 / 32
Quadro K5000M,GK104,"Aug 7th, 2012",MXM-B (3.0),"4 GB, GDDR5, 256 bit",601 MHz,750 MHz,1344 / 112 / 32
GeForce GT 650M Mac Edition,GK107,"Jul 12th, 2012",PCIe 3.0 x16,"512 MB, GDDR5, 128 bit",900 MHz,1254 MHz,384 / 32 / 16
GeForce GTS 450 Rev. 3,GF116,"Jul 11th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",783 MHz,700 MHz,144 / 24 / 16
NVS 310,GF119,"Jun 26th, 2012",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",523 MHz,875 MHz,48 / 8 / 4
GeForce 9400 GT Rev. 3,GT218,"Jun 13th, 2012",PCIe 2.0 x16,"128 MB, DDR2, 64 bit",589 MHz,600 MHz,16 / 8 / 4
GeForce GT 640,GK107,"Jun 5th, 2012",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",902 MHz,891 MHz,384 / 32 / 16
GeForce GTX 680M,GK104,"Jun 4th, 2012",MXM-B (3.0),"4 GB, GDDR5, 256 bit",719 MHz,900 MHz,1344 / 112 / 32
NVS 5200M,GF117,"Jun 1st, 2012",MXM,"1024 MB, DDR3, 64 bit",625 MHz,900 MHz,96 / 16 / 4
NVS 5400M,GF108,"Jun 1st, 2012",MXM,"2 GB, GDDR3, 128 bit",660 MHz,900 MHz,96 / 16 / 4
Quadro K1000M,GK107,"Jun 1st, 2012",MXM-A (3.0),"2 GB, DDR3, 128 bit",850 MHz,900 MHz,192 / 16 / 16
Quadro K2000M,GK107,"Jun 1st, 2012",MXM-A (3.0),"2 GB, DDR3, 128 bit",745 MHz,900 MHz,384 / 32 / 16
Quadro K3000M,GK104,"Jun 1st, 2012",MXM-B (3.0),"2 GB, GDDR5, 256 bit",654 MHz,700 MHz,576 / 48 / 32
Quadro K4000M,GK104,"Jun 1st, 2012",MXM-B (3.0),"4 GB, GDDR5, 256 bit",601 MHz,700 MHz,960 / 80 / 32
Quadro K500M,GK107,"Jun 1st, 2012",MXM-A (3.0),"1024 MB, DDR3, 64 bit",850 MHz,800 MHz,192 / 16 / 8
GeForce 615,GF108,"May 15th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",660 MHz,900 MHz,48 / 8 / 4
GeForce GT 620,GF108,"May 15th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",700 MHz,900 MHz,96 / 16 / 4
GeForce GT 630,GF108,"May 15th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",810 MHz,900 MHz,96 / 16 / 4
GeForce GTX 670,GK104,"May 10th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1344 / 112 / 32
GeForce GT 640M LE,GF108,"May 4th, 2012",PCIe 2.0 x16,"2 GB, GDDR5, 128 bit",753 MHz,785 MHz,96 / 16 / 4
GeForce GTX 690,GK104,"May 3rd, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1536 / 128 / 32
Quadro 7000,GF110,"May 2nd, 2012",PCIe 2.0 x16,"6 GB, GDDR5, 384 bit",651 MHz,851 MHz,512 / 64 / 48
Tesla K10,GK104,"May 1st, 2012",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",745 MHz,1250 MHz,1536 / 128 / 32
GeForce GT 630 OEM,GK107,"Apr 24th, 2012",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",875 MHz,891 MHz,192 / 16 / 16
GeForce GT 640 OEM,GK107,"Apr 24th, 2012",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",797 MHz,891 MHz,384 / 32 / 16
GeForce GT 640 OEM Rebrand,GF116,"Apr 24th, 2012",PCIe 2.0 x16,"1536 MB, DDR3, 192 bit",720 MHz,800 MHz,144 / 24 / 24
GeForce GT 645 OEM,GF114,"Apr 24th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 192 bit",776 MHz,957 MHz,288 / 48 / 24
Radeon HD 8650D IGP,Scrapper,"Dec 28th, 2013",IGP,System Shared,720 MHz,System Shared,384 / 24 / 8
Radeon R5 220 OEM,Cedar,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",650 MHz,533 MHz,80 / 8 / 4
Radeon R5 230 OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4
Radeon R5 235 OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,160 / 8 / 4
Radeon R5 235X OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4
Radeon R9 255 OEM,Cape Verde,"Dec 21st, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1150 MHz,512 / 32 / 16
Radeon R9 260 OEM,Bonaire,"Dec 21st, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1100 MHz,1625 MHz,896 / 56 / 16
Radeon R7 250E,Cape Verde,"Dec 20th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16
Radeon R7 260,Bonaire,"Dec 17th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,768 / 48 / 16
Playstation 4 GPU,Liverpool,"Nov 24th, 2013",IGP,"8 GB, GDDR5, 256 bit",800 MHz,1375 MHz,1152 / 72 / 32
Radeon HD 8400 IGP,Kalindi,"Nov 23rd, 2013",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4
Radeon HD 8400 Mobile IGP,Kalindi,"Nov 23rd, 2013",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4
Xbox One GPU,Durango,"Nov 22nd, 2013",IGP,"8 GB, DDR3, 256 bit",853 MHz,1066 MHz,768 / 48 / 16
Radeon R9 270,Curacao,"Nov 13th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1280 / 80 / 32
Radeon R9 290,Hawaii,"Nov 5th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",947 MHz,1250 MHz,2560 / 160 / 64
Radeon HD 8180 IGP,Kalindi,Nov 2013,IGP,System Shared,225 MHz,System Shared,128 / 8 / 4
Radeon HD 8240 Mobile IGP,Kalindi,"Nov 1st, 2013",IGP,System Shared,400 MHz,System Shared,128 / 8 / 4
Radeon R5 240 OEM,Oland,"Nov 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384 / 24 / 8
Radeon R7 240 OEM,Oland,"Nov 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8
Radeon HD 8550 OEM,Turks,"Oct 25th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8
Radeon R9 290X,Hawaii,"Oct 24th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1000 MHz,1250 MHz,2816 / 176 / 64
FirePro M4100,Mars,"Oct 16th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",670 MHz,1000 MHz,384 / 24 / 8
FirePro M4150,Opal,"Oct 16th, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",715 MHz,1000 MHz,384 / 24 / 8
FirePro M5100,Venus,"Oct 16th, 2013",MXM-A (3.0),"2 GB, GDDR5, 128 bit",725 MHz,1125 MHz,640 / 40 / 16
FirePro M6100,Saturn,"Oct 16th, 2013",MXM-B (3.0),"2 GB, GDDR5, 128 bit",1075 MHz,1375 MHz,768 / 48 / 16
Radeon R7 240,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8
Radeon R7 240,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",650 MHz,1150 MHz,320 / 20 / 8
Radeon R7 250,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",1000 MHz,1150 MHz,384 / 24 / 8
Radeon R7 250,Cape Verde,"Oct 8th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",700 MHz,900 MHz,512 / 32 / 16
Radeon R7 250,Cape Verde,"Oct 8th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",925 MHz,900 MHz,512 / 32 / 16
Radeon R7 250 OEM,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",1000 MHz,1000 MHz,384 / 24 / 8
Radeon R7 260X,Bonaire,"Oct 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1100 MHz,1625 MHz,896 / 56 / 16
Radeon R9 270X,Curacao,"Oct 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1400 MHz,1280 / 80 / 32
Radeon R9 280X,Tahiti,"Oct 8th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1500 MHz,2048 / 128 / 32
Radeon R9 280X2,Tahiti,Unknown,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32
Radeon HD 8280 IGP,Kalindi,"Sep 18th, 2013",IGP,System Shared,450 MHz,System Shared,128 / 8 / 4
Radeon HD 8280 Mobile IGP,Kalindi,"Sep 18th, 2013",IGP,System Shared,450 MHz,System Shared,128 / 8 / 4
Radeon HD 8730 OEM,Cape Verde,"Sep 5th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,384 / 24 / 8
Radeon HD 8740 OEM,Cape Verde,"Sep 5th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16
Radeon HD 8770 OEM,Bonaire,"Sep 2nd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1050 MHz,1500 MHz,896 / 56 / 16
Radeon HD 8330 Mobile IGP,Kalindi,"Aug 13th, 2013",IGP,System Shared,497 MHz,System Shared,128 / 8 / 4
Radeon HD 8470D IGP,Scrapper,"Jul 29th, 2013",IGP,System Shared,800 MHz,System Shared,192 / 12 / 4
Radeon HD 8490 OEM,Caicos,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4
Radeon HD 8510 OEM,Turks,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8
Radeon HD 8570 OEM Rebrand,Turks,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8
Radeon HD 8570D IGP,Devastator Lite,"Jul 10th, 2013",IGP,System Shared,800 MHz,System Shared,256 / 16 / 8
Radeon HD 8310G IGP,Scrapper Lite,Jul 2013,IGP,System Shared,424 MHz,System Shared,128 / 8 / 4
Radeon HD 8370D IGP,Scrapper Lite,Jul 2013,IGP,System Shared,760 MHz,System Shared,128 / 8 / 4
HD Graphics 4400,Haswell GT2,"Sep 3rd, 2013",Ring Bus,System Shared,200 MHz,System Shared,160 / 20 / 2
HD Graphics 4400,Haswell GT2,"Sep 3rd, 2013",Ring Bus,System Shared,200 MHz,System Shared,160 / 20 / 2
HD Graphics,Bay Trail GT1,"Sep 2nd, 2013",Ring Bus,System Shared,311 MHz,System Shared,32 / 4 / 1
HD Graphics 4200,Haswell GT2,"Sep 2nd, 2013",Ring Bus,System Shared,200 MHz,System Shared,160 / 20 / 2
GeForce GT 720M,GK208,"Dec 25th, 2013",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",719 MHz,800 MHz,192 / 16 / 8
GeForce 820M,GF117,"Nov 27th, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,900 MHz,96 / 16 / 8
GeForce GT 820M,GF117,"Nov 27th, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,96 / 16 / 8
GeForce GTX 650,GK106,"Nov 27th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1058 MHz,1250 MHz,384 / 32 / 16
Tesla K40d,GK110B,"Nov 22nd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",745 MHz,1502 MHz,2880 / 240 / 48
Tesla K40m,GK110B,"Nov 22nd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",745 MHz,1502 MHz,2880 / 240 / 48
Tesla K40s,GK110B,"Nov 22nd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",745 MHz,1502 MHz,2880 / 240 / 48
Tesla K40st,GK110B,"Nov 22nd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",575 MHz,1502 MHz,2880 / 240 / 48
Tesla K40t,GK110B,"Nov 22nd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",745 MHz,1502 MHz,2880 / 240 / 48
GeForce GTX 760 X2,GK104,"Nov 19th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1006 MHz,1502 MHz,1152 / 96 / 32
GeForce GT 750M Mac Edition,GK107,"Nov 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",926 MHz,1254 MHz,384 / 32 / 16
GeForce GT 755M Mac Edition,GK107,"Nov 8th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1085 MHz,1250 MHz,384 / 32 / 16
GeForce GTX 775M Mac Edition,GK104,"Nov 8th, 2013",MXM-B (3.0),"2 GB, GDDR5, 256 bit",797 MHz,1250 MHz,1344 / 112 / 32
GeForce GTX 780M Mac Edition,GK104,"Nov 8th, 2013",MXM-B (3.0),"4 GB, GDDR5, 256 bit",771 MHz,1250 MHz,1536 / 128 / 32
GeForce GTX 780 Ti,GK110B,"Nov 7th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",875 MHz,1753 MHz,2880 / 240 / 48
Tesla K40c,GK180,"Oct 8th, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",745 MHz,1502 MHz,2880 / 240 / 48
GeForce 705A,GF119,"Oct 1st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",738 MHz,900 MHz,48 / 8 / 4
GeForce GT 635 OEM,GK208,"Oct 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",967 MHz,900 MHz,384 / 32 / 8
GeForce 705M,GF119,Unknown,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",738 MHz,900 MHz,48 / 8 / 4
GeForce 705M,GF117,"Sep 27th, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",738 MHz,900 MHz,48 / 8 / 8
GeForce GTX 760 Ti OEM,GK104,"Sep 27th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1344 / 112 / 32
GeForce GTX 780 6 GB,GK110B,"Sep 10th, 2013",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",863 MHz,1502 MHz,2304 / 192 / 48
GeForce GTX 780 Rev. 2,GK110B,"Sep 10th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",863 MHz,1502 MHz,2304 / 192 / 48
GeForce GT 740A,GK208,"Aug 26th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",980 MHz,900 MHz,384 / 32 / 8
GeForce GT 745A,GK107,"Aug 26th, 2013",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",837 MHz,900 MHz,384 / 32 / 16
GeForce GTX 760 OEM Rebrand,GK104,"Aug 25th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 256 bit",823 MHz,1400 MHz,1152 / 96 / 32
GeForce GTX 760 Ti OEM Rebrand,GK104,"Aug 25th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1344 / 112 / 32
Tegra 4 GPU,Wayne,"Aug 1st, 2013",IGP,System Shared,672 MHz,System Shared,48 / 24 / 4 / 4
GeForce 710M,GK208,"Jul 24th, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",719 MHz,900 MHz,192 / 16 / 8
GRID K340,GK107,"Jul 23rd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",954 MHz,1250 MHz,384 / 32 / 16
GRID K520,GK104,"Jul 23rd, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",745 MHz,1250 MHz,1536 / 128 / 32
Quadro K1100M,GK107,"Jul 23rd, 2013",MXM-A (3.0),"2 GB, GDDR5, 128 bit",706 MHz,700 MHz,384 / 32 / 16
Quadro K2100M,GK106,"Jul 23rd, 2013",MXM-A (3.0),"2 GB, GDDR5, 128 bit",667 MHz,752 MHz,576 / 48 / 16
Quadro K3100M,GK104,"Jul 23rd, 2013",MXM-B (3.0),"4 GB, GDDR5, 256 bit",706 MHz,800 MHz,768 / 64 / 32
Quadro K4100M,GK104,"Jul 23rd, 2013",MXM-B (3.0),"4 GB, GDDR5, 256 bit",706 MHz,800 MHz,1152 / 96 / 32
Quadro K5100M,GK104,"Jul 23rd, 2013",MXM-B (3.0),"8 GB, GDDR5, 256 bit",771 MHz,900 MHz,1536 / 128 / 32
Quadro K510M,GK208,"Jul 23rd, 2013",MXM-A (3.0),"1024 MB, GDDR5, 64 bit",889 MHz,600 MHz,192 / 16 / 8
Quadro K6000,GK110B,"Jul 23rd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",797 MHz,1502 MHz,2880 / 240 / 48
Quadro K6000 SDI,GK110,"Jul 23rd, 2013",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",902 MHz,1502 MHz,2880 / 240 / 48
Quadro K610M,GK208,"Jul 23rd, 2013",MXM-A (3.0),"1024 MB, GDDR5, 64 bit",980 MHz,650 MHz,192 / 16 / 8
GRID K100,GK107,"Jun 28th, 2013",PCIe 3.0 x16,"256 MB, DDR3, 128 bit",850 MHz,891 MHz,192 / 16 / 16
GRID K140Q,GK107,"Jun 28th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",850 MHz,891 MHz,192 / 16 / 16
GRID K160Q,GK107,"Jun 28th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",850 MHz,891 MHz,192 / 16 / 16
GRID K180Q,GK107,"Jun 28th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",850 MHz,891 MHz,192 / 16 / 16
GRID K200,GK104,"Jun 28th, 2013",PCIe 3.0 x16,"256 MB, GDDR5, 256 bit",745 MHz,1250 MHz,1536 / 128 / 32
GRID K240Q,GK104,"Jun 28th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 256 bit",745 MHz,1250 MHz,1536 / 128 / 32
GRID K260Q,GK104,"Jun 28th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",745 MHz,1250 MHz,1536 / 128 / 32
GRID K280Q,GK104,"Jun 28th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",745 MHz,1250 MHz,1536 / 128 / 32
GeForce GTX 760 OEM,GK104,"Jun 27th, 2013",PCIe 3.0 x16,"1536 MB, GDDR5, 192 bit",823 MHz,1400 MHz,1152 / 96 / 24
Radeon R9 M290X Mac Edition,Pitcairn,"Nov 23rd, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",850 MHz,1365 MHz,1024 / 64 / 32
Radeon R9 M295X,Amethyst,"Nov 23rd, 2014",MXM-B (3.0),"4 GB, GDDR5, 256 bit",723 MHz,1250 MHz,2048 / 128 / 32
Radeon R9 M295X Mac Edition,Amethyst,"Nov 23rd, 2014",MXM-B (3.0),"4 GB, GDDR5, 256 bit",850 MHz,1362 MHz,2048 / 128 / 32
Radeon R5 M255,Topaz,"Oct 12th, 2014",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",925 MHz,1000 MHz,384 / 24 / 8
Radeon R6 M255DX,Topaz,"Oct 12th, 2014",IGP,System Shared,925 MHz,System Shared,384 / 24 / 8
Radeon R7 M260DX,Topaz,"Oct 12th, 2014",IGP,System Shared,925 MHz,System Shared,384 / 24 / 8
Radeon R7 M265DX,Topaz,"Oct 12th, 2014",IGP,System Shared,925 MHz,System Shared,384 / 24 / 8
FirePro S9100,Hawaii,"Oct 2nd, 2014",PCIe 3.0 x16,"12 GB, GDDR5, 512 bit",824 MHz,1250 MHz,2560 / 160 / 64
Radeon R5 M240,Jet,"Sep 18th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",1000 MHz,900 MHz,320 / 20 / 8
Radeon R4 Mobile Graphics,Spectre SL,"Sep 17th, 2014",IGP,System Shared,533 MHz,System Shared,192 / 12 / 8
Radeon R5 Graphics,Spectre SL,"Sep 17th, 2014",IGP,System Shared,758 MHz,System Shared,256 / 16 / 4
Radeon R5 Graphics,Spectre SL,"Sep 17th, 2014",IGP,System Shared,497 MHz,System Shared,256 / 16 / 4
Radeon R6 Mobile Graphics,Spectre Lite,"Sep 17th, 2014",IGP,System Shared,533 MHz,System Shared,384 / 24 / 8
Radeon R9 285,Tonga,"Sep 2nd, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",918 MHz,1375 MHz,1792 / 112 / 32
Radeon R9 285X,Tonga,Never Released,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",1002 MHz,1375 MHz,2048 / 128 / 32
FirePro W5170M,Tropo,"Aug 25th, 2014",MXM-A (3.0),"2 GB, GDDR5, 128 bit",900 MHz,1125 MHz,640 / 40 / 16
FirePro W6170M,Saturn,"Aug 25th, 2014",MXM-B (3.0),"2 GB, GDDR5, 128 bit",1075 MHz,1375 MHz,768 / 48 / 16
Radeon R7 250XE,Cape Verde,"Aug 21st, 2014",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",860 MHz,1125 MHz,640 / 40 / 16
FirePro W4100,Cape Verde,"Aug 13th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",630 MHz,1000 MHz,512 / 32 / 16
FirePro W2100,Oland,"Aug 12th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",630 MHz,900 MHz,320 / 20 / 8
FirePro W7100,Tonga,"Aug 12th, 2014",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",920 MHz,1250 MHz,1792 / 112 / 32
Radeon R7 265X OEM,Curacao,"Aug 12th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1280 / 80 / 32
FirePro S4000X,Venus,"Aug 7th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",725 MHz,1125 MHz,640 / 40 / 16
FirePro S9050,Tahiti,"Aug 7th, 2014",PCIe 3.0 x16,"12 GB, GDDR5, 384 bit",900 MHz,1375 MHz,1792 / 112 / 32
FirePro S9150,Hawaii,"Aug 7th, 2014",PCIe 3.0 x16,"16 GB, GDDR5, 512 bit",900 MHz,1250 MHz,2816 / 176 / 64
Radeon HD 8550M,Sun,"Jul 13th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",650 MHz,900 MHz,320 / 20 / 8
Radeon R9 290X2,Hawaii,"Jun 24th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1000 MHz,1350 MHz,2816 / 176 / 64
FirePro W8100,Hawaii,"Jun 23rd, 2014",PCIe 3.0 x16,"8 GB, GDDR5, 512 bit",824 MHz,1250 MHz,2560 / 160 / 64
Radeon R5 Mobile Graphics,Beema,"Jun 14th, 2014",IGP,System Shared,800 MHz,System Shared,128 / 8 / 4
Radeon R4 Mobile Graphics,Beema,"Jun 11th, 2014",IGP,System Shared,800 MHz,System Shared,128 / 8 / 4
Radeon R7 M260,Topaz,"Jun 11th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",940 MHz,900 MHz,384 / 24 / 8
Radeon R7 M265DX,Topaz,"Jun 11th, 2014",IGP,System Shared,900 MHz,System Shared,384 / 24 / 8
Radeon R7 M270DX,Topaz,"Jun 11th, 2014",IGP,System Shared,900 MHz,System Shared,384 / 24 / 8
Radeon R5 M230 Rebrand,Sun,"May 31st, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",780 MHz,900 MHz,320 / 20 / 8
Radeon R7 M265,Topaz,"May 20th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",900 MHz,900 MHz,384 / 24 / 8
Radeon R9 295X2,Vesuvius,"Apr 29th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1018 MHz,1250 MHz,2816 / 176 / 64
FirePro W4170M,Mars,"Apr 28th, 2014",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8
Radeon R5 230,Caicos,"Apr 3rd, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4
FirePro W5100,Bonaire,"Mar 31st, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",930 MHz,1500 MHz,768 / 48 / 16
FirePro W9100,Hawaii,"Mar 26th, 2014",PCIe 3.0 x16,"16 GB, GDDR5, 512 bit",930 MHz,1250 MHz,2816 / 176 / 64
Radeon R9 M265X,Venus,"Mar 21st, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",575 MHz,1000 MHz,640 / 40 / 16
Radeon R9 M270X,Venus,"Mar 21st, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",725 MHz,1000 MHz,640 / 40 / 16
HD Graphics 5300,Broadwell GT2,"Sep 5th, 2014",Ring Bus,System Shared,300 MHz,System Shared,192 / 24 / 3
HD Graphics 5500,Broadwell GT2,"Sep 5th, 2014",Ring Bus,System Shared,300 MHz,System Shared,192 / 24 / 3
